Temperature,Species,ID.number,doc.ppm,stock.bottle.number
4,A,1,14.96935325,1
4,A,2,15.39186155,1
4,A,3,15.24891968,1
4,A,4,15.46723871,1
8,A,5,15.64231356,1
8,A,6,15.48396112,1
8,A,7,15.675533,1
8,A,8,16.0709489,1
12,A,9,15.12218532,1
12,A,10,15.07133215,1
12,A,11,15.65062227,1
12,A,12,15.14757777,1
16,A,13,15.5006733,1
16,A,14,15.25411676,1
16,A,15,16.10363092,1
16,A,16,15.63400229,1
20,A,17,16.40783935,1
20,A,18,16.0791233,2
20,A,19,15.90691594,2
20,A,20,15.88222165,2
4,B,21,15.40009337,2
4,B,22,15.25734836,2
4,B,23,15.42538802,2
4,B,24,15.34773985,2
8,B,25,15.89660224,2
8,B,26,15.77494452,2
8,B,27,15.68383144,2
8,B,28,15.36668994,2
12,B,29,15.47560119,2
12,B,30,15.5006733,2
12,B,31,15.51737526,2
12,B,32,15.56057124,2
16,B,33,16.00848859,2
16,B,34,15.58286895,2
16,B,35,15.85127726,2
16,B,36,16.43621533,3
20,B,37,17.12726828,3
20,B,38,16.31504796,3
20,B,39,16.53176663,3
20,B,40,18.39150782,3
4,C,41,16.09546431,3
4,C,42,16.12811513,3
4,C,43,16.18277339,3
4,C,44,15.50902556,3
8,C,45,17.11160823,3
8,C,46,17.08809807,3
8,C,47,16.70070073,3
8,C,48,17.00168818,3
12,C,49,16.1607243,3
12,C,50,16.37974396,3
12,C,51,16.44766975,3
12,C,52,16.74986836,3
16,C,53,16.84875594,3
16,C,54,16.71416506,3
16,C,55,16.95072424,3
16,C,56,16.77097876,3
20,C,57,16.83855703,3
20,C,58,16.29305083,3
20,C,59,17.57016001,3
20,C,60,17.49051548,3
4,D,61,16.36627057,3
4,D,62,16.21443702,3
4,D,63,16.18061687,3
4,D,64,15.9183431,3
8,D,65,16.99770438,3
8,D,66,16.84434915,3
8,D,67,16.97144979,3
8,D,68,17.07253329,3
12,D,69,16.68413402,3
12,D,70,17.77836453,3
12,D,71,17.52682921,3
12,D,72,16.71569116,3
16,D,73,17.06284537,4
16,D,74,16.25971789,4
16,D,75,16.54841672,4
16,D,76,16.35435971,4
20,D,77,16.69132009,4
20,D,78,16.77294615,4
20,D,79,17.03806359,4
20,D,80,16.77735559,4
4,MIX,81,16.27703927,4
4,MIX,82,16.97353958,4
4,MIX,83,16.88954782,4
4,MIX,84,16.49736207,4
8,MIX,85,17.29274041,4
8,MIX,86,17.14204073,4
8,MIX,87,16.97111334,4
8,MIX,88,16.89489862,4
12,MIX,89,16.73966567,4
12,MIX,90,16.78314771,4
12,MIX,91,16.22058192,4
12,MIX,92,17.08634465,4
16,MIX,93,17.19767725,4
16,MIX,94,17.31310414,4
16,MIX,95,17.33727522,4
16,MIX,96,17.3538987,4
20,MIX,97,17.54717498,4
20,MIX,98,17.95108484,4
20,MIX,99,17.62586882,4
20,MIX,100,18.32348495,4
4,Control,101,17.61,4
4,Control,102,17.63,4
4,Control,103,17.56,4
4,Control,104,18.31,4
