Lane	Band.No.	band_percent	temperature	replicate
2	1	57.549588	4	1
2	2	4.497375	4	1
2	3	35.771532	4	1
2	4	2.181505	4	1
3	1	51.549996	4	2
3	2	5.433266	4	2
3	3	42.442769	4	2
3	4	0.57397	4	2
2	1	47.912956	4	3
2	2	3.010977	4	3
2	3	48.953053	4	3
2	4	0.123014	4	3
3	1	49.792038	4	4
3	2	7.113665	4	4
3	3	43.079822	4	4
3	4	0.014475	4	4
4	1	42.390548	8	1
4	2	3.119463	8	1
4	3	52.420507	8	1
4	4	2.069446	8	1
4	1	42.003084	8	2
4	2	1.633573	8	2
4	3	53.086933	8	2
4	4	3.27641	8	2
5	1	54.363225	8	3
5	2	2.593916	8	3
5	3	42.550117	8	3
5	4	0.492741	8	3
5	1	17.58914	8	4
5	2	6.880862	8	4
5	3	60.406259	8	4
5	4	15.123739	8	4
6	1	14.366154	12	1
6	2	10.728819	12	1
6	3	57.273364	12	1
6	4	17.631663	12	1
8	1	3.192804	12	2
8	2	13.140485	12	2
8	3	70.286441	12	2
8	4	13.38027	12	2
6	1	5.715094	12	3
6	2	11.63818	12	3
6	3	67.928382	12	3
6	4	14.718344	12	3
8	1	7.18407	12	4
8	2	12.542424	12	4
8	3	67.135501	12	4
8	4	13.138006	12	4
9	1	12.640441	16	1
9	2	6.782777	16	1
9	3	43.903103	16	1
9	4	36.673679	16	1
10	1	3.056721	16	2
10	2	12.040371	16	2
10	3	60.01241	16	2
10	4	24.890498	16	2
9	1	6.694125	16	3
9	2	5.053286	16	3
9	3	48.96802	16	3
9	4	39.284569	16	3
10	1	11.061695	16	4
10	2	7.817714	16	4
10	3	30.619055	16	4
10	4	50.501536	16	4
11	1	16.297743	20	1
11	2	12.680099	20	1
11	3	1.591748	20	1
11	4	69.43041	20	1
12	1	11.069913	20	2
12	2	10.620294	20	2
12	3	0.779309	20	2
12	4	77.530484	20	2
11	1	0.899907	20	3
11	2	2.98439	20	3
11	3	15.812575	20	3
11	4	80.303129	20	3
12	1	22.247143	20	4
12	2	3.646636	20	4
12	3	1.983456	20	4
12	4	72.122765	20	4
