Temperature,Species,ID number,CN volume filtered (mL),P volume filtered (mL)
4,A,1,37.9,44.3
4,A,2,38,48.3
4,A,3,34.4,32.2
4,A,4,27,57.5
8,A,5,35,42
8,A,6,39,42
8,A,7,39.9,37.3
8,A,8,45.2,34.3
12,A,9,35.7,48.8
12,A,10,36.7,40.1
12,A,11,29.9,31
12,A,12,28.2,28.1
16,A,13,48,34.1
16,A,14,38.5,43.7
16,A,15,43.7,42.2
16,A,16,59.8,22.8
20,A,17,34.9,34.3
20,A,18,38.1,27.3
20,A,19,33.7,31.8
20,A,20,30.7,23
4,B,21,39.7,46.5
4,B,22,30.5,39
4,B,23,41.5,46.1
4,B,24,34.7,33.2
8,B,25,32.9,44.9
8,B,26,32.4,26.3
8,B,27,23.9,29
8,B,28,30.9,38
12,B,29,28.2,24.2
12,B,30,31.3,37
12,B,31,33,29.5
12,B,32,23.6,33.8
16,B,33,33.8,33.7
16,B,34,30.4,28.6
16,B,35,28.1,37.5
16,B,36,33.9,28.7
20,B,37,36.8,32.7
20,B,38,13.3,10.4
20,B,39,33.8,25.3
20,B,40,,55.8
4,C,41,34.4,36.3
4,C,42,48.4,36.2
4,C,43,35.1,32.9
4,C,44,38.3,28.2
8,C,45,31.3,37.8
8,C,46,27.3,41.8
8,C,47,31.7,37.4
8,C,48,37.4,33.8
12,C,49,36.5,26.1
12,C,50,31.1,30.6
12,C,51,28.4,39.2
12,C,52,29.4,34.7
16,C,53,25.7,33.2
16,C,54,28.9,25.6
16,C,55,33.8,27.9
16,C,56,31.2,34.1
20,C,57,7.7,8.4
20,C,58,7.2,5.2
20,C,59,37.8,11.3
20,C,60,8.6,11.2
4,D,61,28.1,50.6
4,D,62,31.8,38.5
4,D,63,33,30.3
4,D,64,29.3,39.7
8,D,65,33.1,33.4
8,D,66,25,41.6
8,D,67,26.9,33.5
8,D,68,33,39.1
12,D,69,33,30
12,D,70,37.6,35.7
12,D,71,30.8,
12,D,72,30.7,33.2
16,D,73,26.2,31
16,D,74,26.4,34
16,D,75,37.4,24.3
16,D,76,31.2,53.9
20,D,77,32.8,29.1
20,D,78,27.9,32.8
20,D,79,26.9,26.1
20,D,80,33.1,30.6
4,MIX,81,25.2,18.6
4,MIX,82,27.2,30
4,MIX,83,25.1,26.3
4,MIX,84,30.1,27.5
8,MIX,85,23.2,24.7
8,MIX,86,25.3,23.5
8,MIX,87,20.9,21.5
8,MIX,88,24,21.9
12,MIX,89,32,18.5
12,MIX,90,34.3,16
12,MIX,91,23.9,23.9
12,MIX,92,12.3,12
16,MIX,93,19.3,22.1
16,MIX,94,22,23.2
16,MIX,95,16.5,27.3
16,MIX,96,14.6,24.9
20,MIX,97,8,7.7
20,MIX,98,21.4,19.1
20,MIX,99,11.2,30.5
20,MIX,100,10.7,11.5
4,Control,101,38.3,31.1
4,Control,102,35.5,36.8
4,Control,103,38.7,44.3
4,Control,104,43.6,37.4
